16, lb_50_02_015_03, lb_50_02_015_06, lb_50_02_03_03, lb_50_02_03_06, lb_50_04_015_03, lb_50_04_015_06, lb_50_04_03_03, lb_50_04_03_06, lb_100_02_015_03, lb_100_02_015_06, lb_100_02_03_03, lb_100_02_03_06, lb_100_04_015_03, lb_100_04_015_06, lb_100_04_03_03, lb_100_04_03_06
Instance_0, 23631.855699, 23552.033036, 23751.418774, 24235.515002, 23897.934650, 23993.064615, 24268.467299, 23885.322708, 24392.978544, 24255.138686, 23834.107423, 23939.764122, 23627.034318, 24321.126047, 23661.759021, 24158.426290
Instance_1, 23482.663660, 23579.555522, 23738.359110, 23608.627874, 23570.017731, 23836.937373, 23484.022299, 23796.195332, 23478.231026, 24150.449206, 24081.637444, 24026.888813, 23903.540229, 23816.474907, 23466.236612, 24231.093384
Instance_2, 23808.324208, 23902.989048, 24125.395195, 23700.385728, 24078.481376, 23619.393072, 23967.182064, 24288.181539, 24248.575692, 23686.629944, 24245.599202, 23727.344500, 23951.847560, 24567.197279, 23754.176844, 24073.065585
Instance_3, 23499.412464, 24060.197128, 23547.955000, 23429.756212, 23664.758864, 23642.361928, 23530.804029, 23307.007054, 23781.147121, 23293.558114, 23945.409720, 23907.509271, 23781.172028, 23331.971567, 23697.019957, 23478.297154
Instance_4, 23265.984420, 23412.516333, 23350.732655, 23440.792780, 23542.332951, 23385.179979, 23246.871507, 23744.494401, 23743.714816, 23530.188735, 23785.105712, 23589.179197, 23503.086549, 23905.700729, 23293.448803, 23135.029535
Instance_5, 22866.691739, 22972.226771, 23023.058564, 23107.194318, 23228.719825, 23165.963526, 23413.272882, 22993.176645, 23373.733956, 23627.585566, 23606.683076, 23439.214582, 23200.537226, 23379.533158, 23113.673126, 23493.471682
Instance_6, 23356.911808, 24008.405852, 23625.586894, 23199.972858, 23741.654835, 24031.303989, 23332.632772, 23140.888690, 23898.949555, 23340.471194, 23963.589800, 24125.583507, 23819.157452, 23609.226150, 23693.726257, 24170.749769
Instance_7, 24205.977316, 23713.566371, 24312.779944, 24291.349397, 23761.171828, 23917.368812, 24008.837066, 24032.519385, 23999.786398, 23932.534903, 23764.591246, 24140.735165, 24190.222735, 24362.668179, 24099.326572, 24170.449955
Instance_8, 23680.591728, 24009.216860, 23621.071949, 23360.541335, 23612.854653, 23857.145877, 23873.835709, 23474.517212, 23814.283919, 23908.141562, 23715.996962, 23808.283105, 24063.824720, 23987.964397, 23987.456302, 23854.815355
Instance_9, 23595.798148, 23646.423065, 23266.175155, 23091.302543, 23519.790878, 23530.413541, 23529.188009, 23666.146301, 23087.731973, 23540.531257, 23565.541083, 23562.001032, 24012.663354, 23361.578488, 23361.866569, 23451.831500
