10, nn, nn_2opt, nn_as_2opt, nn_as_2opt, em, em_2opt, vns, ts, grasp, grasp_2opt
Instance_0, 29813.012947, 24727.094068, 28092.353416, 24358.302499, 27711.547071, 26234.750850, 24485.300935, 24090.688218, 27969.999578, 24476.245083
Instance_1, 28510.629127, 24544.194197, 27617.377107, 24055.991518, 27599.616320, 26101.962900, 24166.980460, 23872.870706, 27546.132862, 24104.003545
Instance_2, 28669.514102, 24742.091001, 27629.909682, 24420.962839, 27366.270123, 25719.452067, 24487.654390, 24188.412004, 27312.761110, 24382.168987
Instance_3, 29532.975615, 24297.605115, 27378.803576, 23902.390444, 27927.136870, 25938.343062, 24028.928393, 23667.673772, 27367.906033, 24030.981557
Instance_4, 28266.607768, 24061.985072, 27542.802587, 23885.750064, 27325.212175, 25588.349562, 23824.198503, 23847.598981, 27309.166761, 23777.517695
Instance_5, 27944.830865, 24199.805463, 27542.058461, 23759.258405, 27745.397749, 25450.951340, 23783.337537, 23530.750963, 27192.906304, 23787.130484
Instance_6, 29184.982260, 24363.551539, 28053.231686, 24062.727774, 27868.121313, 26117.859579, 24123.576490, 23789.935315, 27203.664051, 23975.492271
Instance_7, 28550.981270, 24239.972065, 27594.975559, 24192.113161, 27665.484358, 26017.591949, 24407.144025, 23969.319094, 27299.791147, 24094.196607
Instance_8, 28728.018501, 24224.677602, 27550.911836, 23980.166662, 27166.120283, 25715.563853, 23880.072665, 23750.660677, 27242.866049, 24032.406120
Instance_9, 28057.201749, 24356.111741, 27431.471734, 23919.691042, 27616.106328, 25709.284201, 24089.250990, 23761.106760, 27076.478138, 23983.673944
