10, ts_0.1_0.4_150, ts_0.2_0.6_200, ts_0.05_0.2_100, ts_0.1_0.4_50, ts_0.15_0.5_120, ts_0.08_0.3_180, ts_0.12_0.35_90, ts_0.2_0.5_160, ts_0.05_0.25_140, ts_0.1_0.45_200
Instance_0, 24310.703981, 24174.430343, 24051.502692, 24274.490864, 24109.381727, 24171.079474, 24122.408766, 24374.122422, 24016.060115, 24105.494216
Instance_1, 23882.680876, 23885.834529, 23985.753025, 23772.158108, 24192.893284, 23948.158007, 23912.022327, 23968.698096, 23769.747879, 23871.041542
Instance_2, 24122.365690, 24194.929060, 24050.514440, 23930.621996, 24277.643636, 24056.428368, 24121.991211, 24294.471879, 24119.689528, 24283.392428
Instance_3, 23752.302697, 23610.826462, 23758.674778, 23751.133686, 23647.505574, 23834.047367, 23949.833861, 23735.220390, 23797.641951, 23965.672407
Instance_4, 23572.285214, 23660.683443, 23428.770018, 23538.361347, 23560.496613, 23684.222375, 23602.251107, 23523.172081, 23620.940446, 23607.837622
Instance_5, 23721.902764, 23431.797829, 23673.028667, 23415.548359, 23456.023971, 23578.712500, 23410.163995, 23716.848153, 23690.936808, 23629.244766
Instance_6, 23834.339047, 23798.148721, 24071.758308, 23565.934079, 23703.484742, 23856.377724, 23826.741870, 23867.854623, 24061.258307, 23725.292130
Instance_7, 24114.151554, 23878.507476, 24030.926401, 24030.269452, 23938.494460, 24005.364412, 23806.202617, 23892.208004, 24093.529303, 23931.693279
Instance_8, 23795.386016, 23581.976501, 23776.977089, 23957.978000, 23543.120755, 23629.487637, 23640.414280, 23743.845884, 23831.812861, 23793.604501
Instance_9, 23747.111505, 23692.534004, 23751.614151, 23463.329769, 23695.724219, 23564.526182, 23580.713201, 23798.826604, 23657.764904, 23706.832983
