12, grasp_2_5, grasp_3_5, grasp_4_5, grasp_5_5, grasp_2_10, grasp_3_10, grasp_4_10, grasp_5_10, grasp_2_20, grasp_3_20, grasp_4_20, grasp_5_20
Instance_0, 24437.781906, 25254.746323, 25113.479234, 25401.477989, 24472.804927, 25239.492458, 24994.050629, 25448.307040, 24403.476826, 25295.184606, 24958.320988, 25323.477462
Instance_1, 24267.243255, 24981.509377, 24893.931406, 25165.577795, 24167.976148, 24963.721303, 24890.180513, 25141.419333, 24135.342284, 24909.386242, 24713.065845, 25227.655219
Instance_2, 24376.233637, 25103.053215, 25069.204099, 25118.304110, 24442.436739, 25120.364216, 24908.913507, 25154.300787, 24308.024482, 25088.315425, 24957.681745, 25236.145904
Instance_3, 24097.506562, 24767.788436, 24647.125907, 24911.188229, 23956.318700, 24790.897253, 24697.066573, 25041.992178, 23901.044166, 24720.139218, 24552.077554, 24913.704641
Instance_4, 23909.285612, 24525.240851, 24441.139059, 24766.099636, 23889.307303, 24594.289973, 24414.099648, 24773.196476, 23794.911713, 24436.316669, 24299.535561, 24750.681798
Instance_5, 23879.021793, 24513.284165, 24575.838163, 24568.573899, 23668.257229, 24463.111822, 24372.387710, 24793.379689, 23774.026741, 24650.112739, 24390.008933, 24695.377388
Instance_6, 24111.853749, 24721.501234, 24623.452821, 25151.227582, 23887.978837, 24894.207735, 24666.408657, 25078.732159, 23902.468231, 24925.221984, 24654.034749, 24864.593980
Instance_7, 24285.437799, 24867.206246, 24806.505543, 25245.045090, 24211.019891, 24907.889562, 24863.751373, 25228.790306, 24179.698070, 24949.399348, 24861.505763, 25026.552059
Instance_8, 24105.832779, 24823.226829, 24661.681162, 25013.104738, 24033.302289, 24854.087540, 24529.080363, 25030.004039, 23960.057650, 24562.143994, 24578.617238, 24806.283693
Instance_9, 24063.776917, 24870.532295, 24527.109829, 25020.138183, 23997.586439, 24733.734931, 24699.282794, 24980.097315, 23958.641221, 24712.878688, 24472.157240, 24910.958337
